source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,24,round_24_mimo.log,16,118,45,BN256-standard,576.1,571.5,576.1,15.5,1663.0
baseline,24,round_24_mimo.log,32,241,48,BN256-standard,585.3,581.4,587.0,31.1,1751.0
baseline,24,round_24_mimo.log,64,546,48,BN256-standard,619.3,607.7,622.9,66.6,1666.0
baseline,24,round_24_mimo.log,128,984,48,BN256-standard,537.4,536.7,539.4,138.2,1938.0
baseline,24,round_24_mimo.log,256,2037,48,BN256-standard,552.1,551.7,553.9,278.6,1929.0
baseline,24,round_24_mimo.log,512,4097,48,BN256-standard,1019.0,1028.4,1031.0,303.5,1091.0
baseline,24,round_24_mimo.log,1024,8140,48,BN256-standard,1546.0,1545.2,1550.0,397.5,778.0
baseline,24,round_24_mimo.log,2048,16409,48,BN128-split,2850.0,2848.1,2850.0,434.7,487.0
baseline,24,round_24_mimo.log,4096,32686,48,BN128-split,5441.0,5439.5,5441.0,453.5,323.0
baseline,24,round_24_mimo.log,8192,65538,48,BN128-split,10178.0,10175.0,10180.0,486.1,245.0
baseline,25,round_25_mimo.log,8,64,39,BN256-standard,504.0,504.8,510.0,9.6,1646.0
